name,kategorie,biene,jan,feb,mrz,apr,mai,jun,jul,aug,sep,okt,nov,dez
zitronenmelisse,kräuter,1,0,0,0,0,0,1,1,1,0,0,0,0
zierapfel,rosengewächs,1,0,0,0,1,1,0,0,0,0,0,0,0
winterheckenzwiebel,gemüse,1,0,0,0,0,0,1,1,1,0,0,0,0
winter-bohnenkraut,gemüse,1,0,0,0,0,0,1,1,1,1,0,0,0
schwarzer holunder,staude,1,0,0,0,0,1,1,0,0,0,0,0,0
pfaffenhütchen,staude,1,0,0,0,0,1,1,0,0,0,0,0,0
hunds-rose,rosengewächs,1,0,0,0,0,0,1,1,0,0,0,0,0
bereifte rose,rosengewächs,0,0,0,0,0,1,1,0,0,0,0,0,0
apfel-rose,rosengewächs,0,0,0,0,0,0,1,1,0,0,0,0,0
tauben-skabiose,staude,1,0,0,0,0,0,0,0,0,0,0,0,0
säulenkirsche,gehölz,1,0,0,0,1,1,0,0,0,0,0,0,0
moschusmalve,staude,1,0,0,0,0,0,1,1,1,1,0,0,0
mazedonische witwenblume,staude,0,0,0,0,0,0,0,1,1,1,0,0,0
feuerkerze,staude,1,0,0,0,0,1,1,1,1,1,0,0,0
echter gamander,staude,1,0,0,0,0,0,0,1,1,0,0,0,0
blaue kuhschelle,staude,1,0,0,1,1,0,0,0,0,0,0,0,0
sonnenblume verzweigt,saisonpflanze,1,0,0,0,0,0,0,1,1,1,0,0,0
sonnenblume,saisonpflanze,1,0,0,0,0,0,0,1,1,1,0,0,0
safran,kräuter,1,0,0,0,0,0,0,0,0,0,1,1,0
oregano,kräuter,1,0,0,0,0,0,0,1,1,1,0,0,0
birne,gehölz,0,0,0,0,1,1,0,0,0,0,0,0,0
muskatellersalbei,kräuter,1,0,0,0,0,0,1,1,1,0,0,0,0
kornelkirsche,gehölz,1,0,1,1,1,0,0,0,0,0,0,0,0
gartengeissblatt,kletterpflanze,1,0,0,0,0,1,1,1,0,0,0,0,0
berg-waldrebe,kletterpflanze,0,0,0,0,0,1,1,0,0,0,0,0,0
kleiner kugellauch,staude,1,0,0,0,0,0,1,1,0,0,0,0,0
kirschpflaume,rosengewächs,1,0,0,1,1,0,0,0,0,0,0,0,0
johanniskraut,staude,1,0,0,0,0,1,1,1,1,0,0,0,0
haselnussbaum,gehölz,1,0,1,1,1,0,0,0,0,0,0,0,0
gemeine schafgarbe,staude,1,0,0,0,0,0,1,1,1,1,0,0,0
echte kamille,staude,1,0,0,0,0,1,1,1,1,1,0,0,0
brombeere,rosengewächs,1,0,0,0,0,1,1,0,0,0,0,0,0
blaue malve,staude,1,0,0,0,0,0,0,1,1,1,0,0,0
bartblume blauer spatz,gehölz,1,0,0,0,0,0,0,1,1,1,1,0,0
baldrian,kräuter,1,0,0,0,0,1,1,1,0,0,0,0,0
arzneithymian,kräuter,1,0,0,0,0,0,1,1,1,1,0,0,0
azalee,gehölz,1,0,0,0,1,1,1,0,0,0,0,0,0
besenheide,gehölz,1,0,0,0,0,0,0,0,1,1,1,0,0
himbeere,gehölz,1,0,0,0,0,1,1,1,1,0,0,0,0
rose ungefüllt,gehölz,1,0,0,0,0,1,1,1,1,1,1,0,0
rosmarin,gehölz,1,0,0,0,0,1,1,0,0,0,0,0,0
gewöhnliche waldrebe,staude,1,0,0,0,0,0,1,1,1,1,0,0,0
ballonblume,staude,1,0,0,0,0,0,0,1,1,0,0,0,0
lavendel,gehölz,1,0,0,0,0,0,0,1,1,1,0,0,0
wald-erdbeere,gehölz,0,0,0,0,1,1,1,0,0,0,0,0,0
krokus,stauden,1,0,0,1,1,0,0,0,0,0,0,0,0
schneeglöckchen,stauden,1,0,0,1,1,0,0,0,0,0,0,0,0
bartblume,saisonpflanze,1,0,0,0,0,0,0,0,1,1,0,0,0
fenchel,kräuter,1,0,0,0,0,0,0,1,1,0,0,0,0
koriander,kräuter,1,0,0,0,0,0,1,1,1,0,0,0,0
salbei,kräuter,1,0,0,0,0,0,1,1,0,0,0,0,0
klatschmohn,saisonpflanze,1,0,0,0,0,1,1,1,0,0,0,0,0
kornblume,saisonpflanze,1,0,0,0,0,0,1,1,0,0,0,0,0
forsythie,gehölz,0,0,0,0,1,1,0,0,0,0,0,0,0
geranien,stauden,0,0,0,0,0,1,1,1,1,1,1,0,0
lebensbaum,gehölz,0,0,0,1,1,1,0,0,0,0,0,0,0
magnolie,gehölz,0,0,0,0,1,1,1,0,0,1,0,0,0
bauernhortensie,staude,0,0,0,0,0,0,1,1,1,1,1,0,0
tulpe,staude,0,0,0,0,1,1,0,0,0,0,0,0,0
löwenmäulchen,ein- und zweijährige balkonpflanzen,0,0,0,0,0,0,0,1,1,1,1,0,0
goldkosmos,ein- und zweijährige balkonpflanzen,0,0,0,0,0,0,1,1,1,1,0,0,0
